rank	title	subs	favs	lifetime_subs	tags
75	LogSpiral's Library	700447	12763	1044982	library;Both;1.4.4;English
76	Wombat's General Improvements	767489	9181	1037127	quality of life;new content;Gameplay Tweaks;Visual Tweaks
77	Concise Mods List	727174	30314	1012974	Utilities;quality of life;English;Spanish
78	Atmospheric Torches	673205	20916	1012449	Visual Tweaks;Client;1.4.4;1.4.3
79	Consolaria	667302	16481	987405	new content;Custom World Gen;English;Spanish
80	zzp198's WeaponOut Lite	661054	14194	985177	quality of life;Utilities;Visual Tweaks;Client
81	zh-Hans localization for Calamity's Vanity	693513	32852	943015	quality of life;English;Chinese;Client
82	Project tRU	844123	13546	938375	Utilities;Translation;quality of life;Russian
83	Fancy Lighting	590066	13498	880608	Visual Tweaks;English;Client;1.4.3
84	Terraria Ambience	543571	12056	874969	quality of life;Audio Tweaks;English;Both
85	Spirit Classic	536762	18069	874676	new content;quality of life;Gameplay Tweaks;Custom World Gen
86	Calamity Fables	669716	23596	873674	new content;Custom World Gen;English;Spanish
87	Terraria Ambience API	569219	8409	870114	library;Both;1.4.4;1.4.3
88	Call of Void	695284	18687	866779	new content;Utilities;quality of life;Gameplay Tweaks
89	Summoner UI (Latest Stable Release)	642506	12729	860767	quality of life;Utilities;Visual Tweaks;Client
90	Shared World Map	606355	14885	858285	Utilities;quality of life;Gameplay Tweaks;Both
91	Syla's Resource Pack Library	665131	5796	855464	library;Utilities;Client;1.4.4
92	DPSExtreme	594572	19090	846867	quality of life;Utilities;Gameplay Tweaks;Both
93	Starlight River	513194	21553	842082	new content;Gameplay Tweaks;Audio Tweaks;Visual Tweaks
94	tML Language Pack Fix	662279	20075	833652	quality of life;Utilities;Gameplay Tweaks;Client
95	Armor Modifiers & Reforging	529049	18064	832014	quality of life;Gameplay Tweaks;Both;1.4.4
96	Friendly NPCs Don't Die	601739	12210	831982	quality of life;Gameplay Tweaks;Both;1.4.4
97	WorldGen Previewer	560787	14028	831080	quality of life;Custom World Gen;Client;1.4.4
98	Impact Library	534750	11479	823547	library;Utilities;Gameplay Tweaks;Both
99	Helpful NPCs	549235	18379	805049	quality of life;new content;Both;1.4.4
100	Fargo's Best of Both Worlds	513591	13689	765555	Custom World Gen;Both;1.4.4;1.4.3
101	Colored Damage Types	544900	11737	761190	quality of life;Utilities;Visual Tweaks;Both
102	MEAC - 原版内容重置 demo	450975	19302	737673	new content;Gameplay Tweaks;Visual Tweaks;Both
103	Fargo's Soul Mod Extras	467485	12770	737354	new content;Both;1.4.4;1.4.3
104	Realistic Sky	544619	10721	732828	Gameplay Tweaks;Visual Tweaks;Client;1.4.4
105	Recipe Browser && Magic Storage	455830	6585	730833	quality of life;Client;1.4.4;1.4.3
106	Mod of Redemption [BETA]	422696	17382	728124	new content;Utilities;quality of life;Gameplay Tweaks
107	No Pylon Restrictions	525138	13058	724597	quality of life;Gameplay Tweaks;Both;1.4.4
108	Infernum Master and Legendary Modes Patch	438847	10952	719507	quality of life;Utilities;Gameplay Tweaks;Both
109	Secrets Of The Shadows	434127	13984	714012	new content;quality of life;Custom World Gen;English
110	Rainbow Master: Colored Relics	538072	15781	713963	quality of life;Visual Tweaks;English;Chinese
111	Better Caves	515580	10774	707105	quality of life;new content;Custom World Gen;Both
112	BossHealthBar(Boss血条)	414050	16453	700271	quality of life;Utilities;Client;1.4.4
113	No More Tombs	496654	6495	698696	Utilities;Both;1.4.4;1.4.3
114	[1.4.4]OreExcavator汉化	474465	18825	691226	quality of life;Client;1.4.4;Chinese
115	LuiAFKReborn汉化1.4.4	485716	18354	686679	Utilities;Translation;quality of life;Chinese
116	Teleport All NPC Home	471090	17279	686286	quality of life;Utilities;Both;1.4.4
117	Craftable Calamity Items	441939	9389	679989	Utilities;quality of life;Both;1.4.3
118	Compare Item Stats	420700	9127	671719	quality of life;Client;1.4.4;1.4.3
119	Boss Intros	434574	9275	667245	quality of life;Utilities;Visual Tweaks;Client
120	Calamity Flamethrowers	384629	10342	652992	new content;English;Both;1.4.3
